symbol,traditional_meaning,stress_weight,category
water,Wealth and emotional flow,2,nature
snake,Transformation and wisdom,5,animals
falling,Anxiety and loss of control,8,action
flying,Freedom and ambition,3,action
teeth,Communication issues,6,body
money,Opportunity and value,4,objects
death,Endings and new beginnings,9,concepts
house,Self and security,4,places
car,Journey and direction,3,objects
fire,Passion and destruction,7,elements
ocean,Emotions and subconscious,3,nature
bird,Freedom and messages,2,animals
exam,Evaluation and pressure,7,education
running,Escape or pursuit,6,action
rain,Cleansing and renewal,3,nature
bridge,Transition and connection,4,objects
